id,timeStamp,location,followers,friends,ntweets
37873,284,704,25676,764,18054
37880,374,241,16955,359,2466
37692,553,782,5447,1388,2723
37858,582,618,23903,846,20341
37897,456,511,20563,1727,49191
37973,506,782,31647121,131,1791
38072,432,69,394437,30541,12492
39668,447,0,53751,32347,10911
37944,591,617,12750689,981,145623
37856,490,782,3759558,870,78037
37946,437,0,4262087,2771,112403
37749,13,776,1863,34,13
37745,257,776,873,124,97
37691,594,782,32839,436,30281
39111,10,564,512,1185,2901
37698,1,0,488,328,284
37838,289,821,252544,591,3790
37982,264,0,99733,9200,23031
37975,576,780,179756,6282,19254
37861,500,0,3057,384,2718
37971,286,614,1128802,2590,90231
37855,11,776,6056,131,245
37701,458,776,1671,639,3120
37773,387,778,711,418,8907
39242,415,782,885,359,14098
37987,286,487,120421,3239,59486
39151,374,734,740,1268,1508
39299,269,387,22160,14941,13088
38017,317,474,475367,401,39552
37697,296,485,17591,1356,2185
37793,520,0,1488542,249,33164
37968,377,0,4342262,3848,6009
39636,483,692,575,1563,1329
37958,308,0,426816,671,38848
38860,267,150,426,2000,15440
37744,260,673,841,756,627
38094,576,985,354447,24785,30628
37945,344,492,120179,11574,26515
37781,317,1101,3186,347,178
39150,486,255,9555,8415,28900
39350,256,414,494,419,587
37956,347,449,86060,2499,9284
37807,502,985,230886,469,5365
37835,380,646,157369,2981,38871
38528,528,841,4584,156,18846
39144,477,111,709,1858,2241
38458,541,0,940,1467,8876
37719,506,1097,949,933,449
37976,545,16,553947,64871,64186
37733,513,0,460,832,333
39093,563,892,179,295,3614
37972,358,614,418986,36955,181811
37736,453,782,649,121,607
37750,384,110,270,278,415
38051,342,5,162441,432,24999
37774,1,0,358,42,137
37756,550,96,4504,335,515
39667,20,538,213,1951,223
37732,594,673,1347,365,347
38075,492,256,604412,164,13049
37952,469,1032,749023,361,30234
37779,330,782,78314,344,296
37875,482,90,3086,69,901
39843,391,749,235,680,171
37683,359,749,179115,725,23472
38917,471,549,374,655,2725
37782,16,782,738,83,182
37783,394,776,1790,861,1229
39049,398,985,19483,18013,3293
37776,451,1066,2322,342,3718
37769,332,782,900,634,1320
37979,552,0,593335,907,20024
38156,274,1084,1476,1707,5190
38851,384,88,2703,2840,25079
38590,336,1086,529,693,1819
37743,512,0,471,115,140
38733,1,150,25,42,600
37795,371,267,1926645,57213,57829
37726,18,749,147,104,15
39515,355,0,12,66,8
22677,450,281,10361,4681,693
37747,335,0,342,29,691
38040,311,492,18910,1491,2513
37953,325,985,48887,2624,3121
37984,525,783,554914,1077,660
38978,419,89,290,692,10369
38524,430,784,876,949,5380
38152,481,575,533,194,5650
38383,17,694,21003,24688,1169
39496,393,194,11110,452,6138
38594,527,216,247,732,4841
38060,576,69,3803751,541638,136453
37708,461,776,2481,162,6156
39445,586,449,913,830,33589
38977,506,509,13833,15481,14296
37727,462,782,341,270,3211
38633,557,228,1077,1789,1406
38530,320,776,596,728,2105
37761,538,783,244,107,1357
37989,600,358,659388,635,9765
38055,496,492,102410,30532,7067
38202,15,0,18,55,26
38353,495,488,25,169,236
37967,489,618,3067776,299,3408
39221,572,301,494,1706,2898
38877,19,71,132,492,404
39584,274,942,7699,2739,5212
37988,393,454,2345726,624,22867
37960,355,360,8207506,4573,13215
39220,468,122,1189,433,6702
37738,282,776,1314,416,574
37706,394,778,50466,407,1234
38201,20,0,52,157,625
38928,553,355,16907,2550,1921
39512,288,492,282,580,4810
37840,271,614,4800,838,9912
37963,279,492,12772671,559,9311
38036,573,910,93076,18,539
37961,424,0,2346684,769,4887
37962,393,492,2745065,892,63254
38796,267,102,210,474,15237
38200,530,0,1058,415,1176
38844,10,772,18,56,60
39610,520,449,232,242,537
38630,14,746,189,321,1525
39655,294,487,272,418,1503
37767,582,618,769,1277,760
37947,579,492,982354,10681,82835
37777,574,782,1001,291,1182
37980,475,925,44899,288,2545
38112,464,663,261,238,12289
38806,482,226,182,397,1214
38041,535,487,12313,582,13961
38843,284,1093,4472,4910,18012
