id,"text",timeStamp,location,followers,friends,statuses
37679,"Running out to work :) #myjob #selfie #me #me #businesscasual #womensfashion #blackdress #bodycon #hotmess # http://t.co/edo7xwTI",0,0,141,369,1798
37919,"Photo: Left hand on the steering wheel, right hand on that 🙀 #selfie #ineedzanap #golfcartsmizzbreak... http://t.co/BECX4kyK",1,1,236,320,4911
0,"This is amazing! Send us an email so we can send u gear! RT @riesespiecess: costume of the year award #snapchat #selfie http://t.co/X5G0Tqdj",2,2,325138,51,1942
38625,"Happy Thanksgiving, y'all. #selfie #favoriteshirt http://t.co/LSHQxMXj",3,3,79,243,1026
39016,"My hair is getting more curly :) #brunette #smile #girl #selfie #longhairdontcare #carpic #picoftheday http://t.co/tJzdlFD2",4,4,184,256,3752
37689,"#selfie http://t.co/1u7WZm76",5,5,1225,347,2129
6760,"#picoftheday #selfie #blueeyes #love #smile http://t.co/10ccjd7K",6,6,170,190,968
38311,"#smile #dayfive #marchphotoaday #selfie http://t.co/qvqFDYkvcK",7,7,126,329,2480
38379,"#juicypinup #selfie #modeling http://t.co/pJuLEoi4mT",8,8,634,632,3212
39329,"Not a fan of #selfies but hey why not 👻 http://t.co/799gnr8QCg",9,9,88,202,1936
7970,"I'm just saying if you have over 500 pics on Instagram and more than half of em are #selfies  you have a serious problem.",10,10,212,434,3108
38621,"#selfie before work! Come see me tewnight err body! http://t.co/BCUQmI5Bd4",11,11,259,157,2096
4107,"Bored in Seminole hard rock casino. #selfies #hardrock #seminolehardeock http://t.co/YxAvEFiV8w",12,10,123,492,4106
38950,"Are we gym rats? @fitfunfab_steph #workoutbuddy #selfies #fitness #beastmode #equinox @ Equinox http://t.co/ieTSH3ffHN",13,13,505,807,1391
39194,"#selfie #bathroom #magiccastle :) http://t.co/6eMi7VrA4d",14,14,9024,9635,5790
37729,"Oh god I got beer on my sunglasses. #smellyeyes #baseball #ohgodigotbeeronmysunglasses #selfie",15,15,1432,369,5316
37846,"#selfiesaturday http://t.co/5cgH6C0GZI",16,16,95032,89,7472
38548,"#selfie bc bored &amp; single on humpday http://t.co/uKz60Vv4Qr",17,17,745,1983,7428
37807,"Do you have a #selfie with an #HerbalifeShake? We want to see it! Tweet us your pics and you could be featured on our social accounts!",18,18,230885,469,5365
6137,"RT @lights: Why do I feel guilty every time I take a selfie? What is this feel. #selfieguilt",19,10,50,170,1592
39546,"The deepest V in the land! RT @SKAMARTIST: Sexy #selfie with @djfive ? http://t.co/DJ0oWUcEs2",20,11,391,155,3105
37918,"RT @KENNETHGmusic: Doing a special back 2 back set with @Bassjackers tonight! KGB in full effect. #duckface #selfie - #laminaat #nu #aub",21,21,173376,159,10639
2113,"New hat #selfie #ttu http://t.co/CpATsJrUfz",22,22,108,336,811
38505,"Time to run some errands! #selfie #lazyday #sleepy #getshitdone http://t.co/w1laZ0yNeb",23,23,260,717,963
4293,"#whitedress #glasses #selfie #hotness http://t.co/BeYp0lPDoh",24,24,427,604,3430
5693,"Woo! It's October! &lt;3 #octoberphotochallenge #day1 #selfie #yayitsfinallyoctober! #imobviouslyexcited :) http://t.co/pUIzci9Krc",25,10,133,267,1589
38470,"Bath Salts are scary 25 self-portraits drawn on 25 different drugs http://t.co/B0mBy8pgwP #selfie #selfportraits #art",26,26,335,346,2433
7878,"#cheerful #girl #justshootthebrezee #selfie #happy #cute http://t.co/aENq5GI1MT",27,27,402,585,1092
39117,"Tweek shift #selfie coffee, you're my only friend http://t.co/YX34Hu9k8X",28,28,111,138,1795
2858,"I've not been on this for months! My life has been so busy! I'd like to announce that I have a son on the way. #rhyl #facebook #selfie",29,29,56,42,3505
39840,"RT @socialmedia2day: The #Selfie Phenomenon [#INFOGRAPHIC] via @shilpiagarwal01 http://t.co/sqc2K67eWK",30,10,456,1030,1639
37840," #Selfienation lays no claims to immortality. It only wants the most love and control in a moment. ",31,31,4800,838,9912
1470,"Ya baje Shots of Me. Cuando esto sea famoso en GT (como en 1 año) podre decir que lo tenia desde hace uuuu #Selfie #Hipster",32,32,343,596,15433
38748,"#LaJovenDeLaPerla #MuchachaConTurbante #LaMonaLisaHolandesa #LaMonaLisaDelNorte #selfie http://t.co/pDg852Cex4",33,33,275,862,9007
37791,"RT @BuzzFeed: This is the first recorded use of #Selfie On @Instagram http://t.co/rHV9IFB7M9",34,10,34459519,17,5302
4334,"RT @DJFrankMarvel: @djjohnnygroove and @djfrankmarvel  #vive #selfie #itsallaboutus #dontmindus #dj #djs #hardhouse… http://t.co/uHAWtza9IR",35,35,3790,176,6062
39039,"#selfie at a gentlemen's club, revisiting my past life but not indulging. Trying out some self-control http://t.co/4aMRlCHCTt",36,36,157,156,1999
37956,"@AaronMSanchez take a #selfie holding a piece of paper that says  I love CES ",37,37,86059,2499,9284
39187,"RT @DayelOstraco: @thomasjoyner @glass @google @SPARCedge Duckface #selfie with Glass. Not to be put on @SPARCedge website or backdrop. htt…",38,38,331,757,413
39785,"#roycegracie #bjj #selfie http://t.co/XAi3DHzedD",39,1,278,591,2042
