id,"text",timeStamp,location,followers,friends,statuses
37679,"#tbt omg high school? http://t.co/9SZutmAR",0,0,141,369,1798
6497,"RT @TexasHumor: RIP Astroworld. #tbt",1,1,39,103,2079
7970,"#TBT #SantaCruz  http://t.co/Wi0lZZ8E",2,2,212,434,3108
38625,"Oh hey @cloudsandganja and @kar_knee  #tbt #pleasedonthateme #tylerhascrazyeyes http://t.co/FJJ1Zxue",3,3,79,243,1026
38768,"#tbt Blacked out times at ATO(:&lt; can't wait for more memories, or lack of  http://t.co/047x8ED5",4,4,301,305,9947
37872,"#tbt #royalascot #2008 #likemotherlikedaughter #pinkisactuallymycolour   @ St John's Wood http://t.co/g2L9HRWQ",5,5,295,177,1901
38502,"#TBT - Halloween '07 - bring back Night at The Roxbury for 2012? I think so http://t.co/HmJE8tft",6,0,246,134,1660
37687,"The infamous bowl cut #throwbackthursday #tbt http://t.co/qCayeB3y",7,2,2677,885,1977
4107,"Do Filipinos know how to play hockey? I did and I was ok haha. #tbt #throwbackthirsday #middleschooldays #ro http://t.co/3pWLi22",8,2,123,492,4106
38428,"#tbt the day I was released from the hospital after my car accident 3 years ago. I was so sucked in its scar http://t.co/1uDTUpHQ",9,9,101,99,2585
38856,"Never before never again #tbt  @ hands on hips town http://t.co/PAvj6rg",10,10,169,163,149
38381,"Don't hate me @baldeezy... Thanks @jillybaldo for snapping this for me! ☝#tbt #throwbackthursday #mlb #baseb http://t.co/ADKaI8JP",11,11,80,754,2020
39089,"suckling pig in #spain #españa #europe #tbt http://t.co/vGboRccb",12,12,112,232,241
38970,"Freshman year to 9 days from now, it's been hard all the way #tbt #hardfest http://t.co/24vZIOte",13,2,69,157,1239
6183,"RT @PadillaVintage: Universal studios 1998  . Oh my gosh how bout that outfit! 😳 Lol. melizaduzit #TBT http://t.co/baFeqFs4",14,2,183,186,8264
39016,"Miss these times #repost #nofilter #friends #zombie #makeup #tbt #throwback carlymischelle http://t.co/tA841yZl",15,15,184,256,3752
37919,"Photo: #tbt no Internet at work means I look thru old photobooth memories of nervous straight bangs and no... http://t.co/VoIHK90I",16,4,236,320,4911
7619,"still applauding Sunday #tbt @jeromelol @dillonfrancis @clockworkLA @ El Rey Theatre http://t.co/ZpiIkRvu",17,10,1151,308,7431
38253,"#tbt boss gets a pound gives it to me... I need to get this again it was couple years ago lol #throwbackthur http://t.co/ng2GEvuv",18,18,133,378,1010
38132,"#tbt #cousin #edc2011 #rave #funtimes #twins @fsalvatierra10 http://t.co/qsYKs389",19,19,100,231,2382
38833,"Bahahaha i love this picture. #tbt #labor #HeBeScared http://t.co/RyBrthEy",20,20,121,176,4702
38838,"#tbt #80s 👪💚 #mama yo hair!! Haha #WORKBITCH .. #daddy your hella tan! 😂😭 look at that #bowtie #birthdayboy http://t.co/yGdi2V6T",21,21,110,116,3908
39807,"Circa 2010.. At the Banda El Recodo show in Pico!! #tbt #paisadays #bandaelrecodo #chinstrap #tecate🍺 http://t.co/j6cGUdEi",22,22,57,115,1339
38194,"I look like a scary midget man in the green. #lol I love you mommy. #family #tbt #throwbackthursday http://t.co/5sMXAwrL",23,23,277,548,1037
38534,"#tbt kappa couch katnap http://t.co/Il3btV4g",24,24,343,1282,583
2418,"#tbt me and lallzord on one! #bowlcut #albanyprimary http://t.co/MM1hQhCUCW",25,25,347,392,5770
39217,"RT @Speakerbomb: #tbt hitting a punching bag game in a bar while on tour with Malbec in Portland, OR circa 2006 http://t.co/EUzmH2YuAe",26,26,80,221,1210
2432,"#tbt our sports teams did pretty well this year",27,27,674,206,1907
39729,"#TBT I was alive in the '70s apparently http://t.co/c9gEI4Gcm5",28,28,102,318,653
37791,"RT @espn: On-air since 1979. On Instagram starting today.  Check us out: @espn -&gt; http://t.co/d5FaqrBABN  #tbt",29,2,34459577,17,5302
37915,"#tbt this mix came out yesterday. Head over to http://t.co/uMuGjQr4KG to download it for free. http://t.co/qKC0r7D1ZN",30,10,21431,763,6174
37963,"@LadyGaga To a year wiser and to a speedy recovery, happy bday gaga :) #tbt http://t.co/vUWnHNjWlq",31,4,12772655,559,9311
38950,"#tbt #throwbackthursday EZOO 2011 #jazzhands #unleashtheanimals stephmarieg jcaraciolo94… http://t.co/Vg9o08gt04",32,32,505,807,1391
38979,"#tbt with superjew555 &lt;3 http://t.co/dut7uPK9Em",33,10,113,215,733
39410,"@Sitch34 literally the funniest thing in the world #Coachella #MyCrack  #tbt",34,34,136,133,631
12898,"@le_berch @roscoehash tatted up? #tbt lolzzzzz I just died http://t.co/qTFU18ew1g",35,35,195,190,3687
4576,"#tbt Party times in Vegas. So fun. audremos http://t.co/Ky6SDqQkF8",36,36,172,317,12928
37899,"#tbt: 7UP 1995 style. http://t.co/An7yjk9kku",37,2,46073,4563,5788
6058,"#tbt #mordfustang http://t.co/2P86zmHu2o",38,38,212,192,1497
37943,"RT @GreatEyeFilms: Round 1 of today's @Electric_Forest throwbacks featuring @quixoticfusion via #GreatEyeFilms https://t.co/ilCtSUJDBZ #tbt",39,39,66662,2555,2887
38670,"#tbt #throwbackthursday savoyband ben_savoy @Wetbandit48 @savoy tzatzikimayne memember dis? #DU #2008 http://t.co/Hzxm9CywWd",40,10,205,411,1187
37878,"#np #ff #tbt http://t.co/NJn1xT9mEw",41,41,454,392,8059
37921,"RT @Aplfisher: Team Respawn launch video shoot. Good memories. #tbt http://t.co/q9ZqiCwul7",42,2,172748,41,6887
39263,"#tbt 2011 one of my most favorite photos! Let's just lol at our raver flare #Beyondwonderland http://t.co/6FLSEQtaVl",43,43,108,247,1930
38626,"#TBT Dizzee Rascal - Fix Up, Look Sharp http://t.co/hIDgXLqktP",44,44,174,156,710
38379,"#tbt #gogo #dancer #dayglow #paintparty #edm #costume #mpls #goodtimes @starkillers77 samanthaellenschulz http://t.co/dYyMnrtsBb",45,45,634,632,3212
39447,"Almighty push!! Taken by @princessteddiie #farewellparty #throwbackthursday #tbt #highschoollife http://t.co/ZW42nJ6Z7v",46,2,82,186,567
37907,"RT @GrooveArmada: Creamfields #tbt #throwbackthursday #groovearmada #creamfields #festival http://t.co/W6KQ9FZ1BS",47,47,127260,595,5851
38993,"RT @karleyjackson: #tbt my best friend @aiexa08 and I about 8 years ago! #bless #braces #truefriendship #geographyclass http://t.co/KSdqx84…",48,48,206,453,1417
39707,"Here's a little #TBT #ThrowBackThursday for you...  In 2012, The Shop carved four larger-than-life characters... http://t.co/PrxsytnMnn",49,49,570,1213,1632
38590,"#TBT fathers day edition http://t.co/8XyFf7HLdu",50,50,529,693,1819
39466,"Happy Birthday America 🇺🇸 #TBT #4thofJuly #Freedom @daniellerhunt @jamierabin stephhaina… http://t.co/z2JwoKho9d",51,4,416,266,2417
37918,"Oui oui, party!! “@gregoriklosman: #TBT Pacha night in Miami with sebastiendrums &amp; bassjackers http://t.co/vEjISbs1MJ”",52,52,173379,159,10639
37877,"I never do #tbt but this pose... I had to. I was a giant 🌟HAM🌟 before puberty. Go on, girl. Serve it. http://t.co/cSaLKmNFB7",53,53,2212,723,6513
39284,"Started from the bottom now we #foam! @welovefoam #TBT http://t.co/nC61UFafck http://t.co/I9OZatKhIJ @shitmalcolmsays",54,54,434,1120,750
37959,"Sneaks from the '70s. #TBT http://t.co/YGfMfEYdEl",55,55,54346,18686,9799
5693,"#TBT To when I gave a girl her first candy at #EDC :D &lt;3 #PLUR http://t.co/vwALxKkkRn",56,2,133,267,1589
37951,"RT @VibeMagazine: #TBT:  20 @Vibemagazine Covers That Perfectly Define The '90s  (via @Buzzfeed) http://t.co/haVhT0wZGV",57,57,2090,184,837
39356,"#TBT pargasm @matixprogress briandunlap @matixprogress chadheit toddroc… http://t.co/aPNKlgU3Kf",58,58,247,308,1144
37955,"RT @LateNightJimmy: #TBT @JimmyFallon @TheRoots and @xtina sing  Your Body  with Office Supplies http://t.co/LBA3k42nye",59,59,136063,125,1818
37939,"Z's up in Sydney #tbt http://t.co/ASjyWB3ZoD",60,60,166432,463,7813
37846,"#tbt when i first met @ryanhemsworth http://t.co/s8xftMrk26",61,61,95032,89,7472
38579,"#TBT #zingvodka #zgroupla http://t.co/h1KSYBT3JD",62,10,746,1551,265
38884,"RT @3rdeyegirl: Throwback Thursday #tbt http://t.co/6TfcKZ5GDJ",63,63,465,1994,126
37928,"We make da rules! “@TylerBPA: One of my favorites!! #TBT @araabMUZIK myself @darealdukedagod and @Adrianw217 http://t.co/2vwPpVziFE”",64,64,93546,1630,8436
39546,"RT @djENRIE: when djs would enjoy playing music because it was fun. not because of money or egos #tbt",65,65,391,155,3105
37893,"This #tbt goes to our article in this year's Insomniac #EDC Mag. http://t.co/HDyIjPr4EJ",66,61,1338,132,812
38144,"RT @nsaofficial: Take us back! @MusicOnOfficial @marco_carola @josephcapriati @Diskolab #NSAMiami2013  #MiamiMusicWeek #diskolab #tbt http:…",67,67,297,117,550
39439,"Taking a lower division class your senior year gives you a glimpse of how HS was. #tbt #annoyed #ForeverAlone #SimmerDown",68,68,367,519,3093
37957,"[Music] #TBT to @cosmicgate taking down Marquee back in 2012. Get pumped for tomorrow night with this #liveset! https://t.co/aUUqhIuGuc",69,28,117593,329,5121
38951,"#tbt candid pic of @djangievee #2012 #dot #dotkru #djlezlee #teamlezlee http://t.co/XNN2FnI27Z",70,70,1515,1270,3358
37933,"#TBT @Diplo walking the crowd  at #HARDsummer. http://t.co/2tqIYFqDQ8",71,2,43035,269,7937
37956,"#TBT who knew how much @Netflix would change the way we watch tv and movies. http://t.co/8Udmfh3M33",72,28,86060,2499,9284
39201,"#tbt #boondocksaints #thewalkingdead #dexter #garfield http://t.co/BHXDezpxmh",73,2,405,592,5099
38847,"#tbt DJ football game Sweden vs. Holland in Miami 2012 for the benefit of the organization @red http://t.co/O9IEKJHwof",74,74,8074,403,1937
2113,"Happy Birthday to my amazing father! #happybdaydad #tbt http://t.co/F4a862pfai",75,75,108,336,811
38375,"#tbt #patriotism #cosmicCharlie http://t.co/ykEmQzyCvv",76,76,372,882,887
39215,"This guy! Reppin' Canadia last Sunday in San Diego @maddecent block party @smalltownpete #mdbp2013  #tbt http://t.co/dD2NOcI1xb",77,77,1922,1377,8133
39178,"RT @UCLAAthletics: .@lowes Defining Moment: UCLA def. Iowa 45-28 in 1986 #RoseBowl. Eric Ball w/ 227 yds, 4 TDs #tbt #DefiningMoments http:…",78,10,940,1787,3009
39314,"#tbt last weekend in Catalina!! Oh you know, just trying to pour some champagne in my mug... Who… http://t.co/x1P0yw7zYQ",79,79,386,476,4803
37837,"#TBT to when we were on the cover of ASOS mag in LA http://t.co/AvJqUieF44 http://t.co/HmcQBn7r0e",80,2,317082,334,2151
39070,"Last year at Blu &amp; Exile's Album release party.  #tbt #Blu #Exile #LA http://t.co/UbrQvh86vW",81,81,84,550,230
336,"RT @CodyZeller: #tbt to my first Hoosier Hysteria! Sorry @VicOladipo! http://t.co/EyqHDiuezy",82,82,130,424,299
39295,"Thursday's are usually full of people reposting pictures of shit I've already seen before. #tbt",83,10,163,230,776
37953,"Wayback MachineRT @EdelmanSEA: 18 years ago, @EdelmanPR became the first #PR firm on the web. #tbt http://t.co/3VaWGUKaFF",84,84,48887,2624,3121
38948,"RT @djBobbyBurns: That's a real #tbt!  @itsemILY23: TBT! Music Box days in Hollywood! Aww @djafrojack &amp; @djBobbyBurns!! @Afrojack247 http:/…",85,85,2264,110,1703
37908,"RT @NewStateMusic: Check out this piece of clubbing history - @pauloakenfold signing for his @officialcream residency! #Cream21 #tbt http:/…",86,86,17011,223,2131
37926,"#tbt green room last week when they used a fn pepper as a sauce container 🙏 http://t.co/Bofs1n3Lz3",87,87,7412,881,2226
38918,"#tbt, why not? Here's an ode to the boyz... #Chicago #lollapalooza2013 #bachelorparty #drunk… http://t.co/JrusZIMVqQ",88,88,383,237,886
37815,"We figured we'd join in this #TBT with a women's cashmere advertisement from 1947 courtesy of our archives http://t.co/LjXGVhNweS",89,89,56586,172,14356
39660,"Why are my lips so #juicy? #throwbackthursday #tbt http://t.co/i5jKD6ERsD",90,90,82,577,633
37803,"Πίσω στο 1999 #tbt http://t.co/XmhAlmoN2R",91,91,5986,3639,2670
37731,"#tbt good times bohrabohra lobokim82 estherpaik estherkang72 lucysky328 http://t.co/mXVNS7FSzr",92,92,756,185,1916
39038,"hold the phones #tbt #birthday http://t.co/mqQ6C1DlT2",93,10,1050,158,1620
38653,"PM giving Edc Las Vegas '13 that cali dose. Ps ^ #TBT #EDCLV #2013 #YouCantTwerkWithUs #PM… http://t.co/gCCW21HOTn",94,94,266,47,2933
4334,"Happy throwback Thursday! #tbt #dj #vinyl http://t.co/SeohhYM8oo",95,95,3790,176,6062
1470,"#TBT a mi #Movember del año pasado. #Swag jajajaja http://t.co/HEmwxQbIqC",96,96,343,596,15433
38988,"#tbt Take it back Chonburi tour at Chonburi hardcore fest#1 จาก Kookie xHard - https://t.co/3U5Bf1SdhE",97,97,223,792,1524
39785,"#tbt when I kicked it on @12thplanet 's lap drinking cupcake vodka at the #madonnainn... Time flies… http://t.co/ErZPUtEidQ",98,4,278,591,2042
37916,"RT @krzy10891: @MikaelWeermets remember the last time we met @WebsterHall??? My American 🇺🇸 tattoo 😎 #tbt #throwbackthursday http://t.co/0h…",99,99,20144,341,17909
1804,"Throwback to my breakfast this morning #tbt http://t.co/QRTdwu9NX3",100,100,512,359,9243
37887,"#tbt http://t.co/siBMHRjRhh",101,101,37784,617,7774
38009,"RT @ZIPLOCKDJ: Here is a throwback for you.... #dirtyphonics #mammenlighttech #martinm1 #edm #lightingdesigner #tbt… http://t.co/0xB7iO7tbQ",102,102,4174,488,673
14200,"RT @Males_Thoughts: #tbt http://t.co/MI7sMJuB6W",103,2,474,1998,695
37917,"#TBT http://t.co/ksTSOPYBPX",104,104,49158,513,12470
4558,"RT @DjOscarG: #tbt ballin' last WMC with @themartinezbros @leefossmusic @marckinchen and coach sethtroxler http://t.co/xLsYPyRaLJ",105,105,88245,2496,12683
37832,"Meet alternating current theorist and GE Researcher, Charles Steinmetz (circa 1915). #ThrowbackThursday #tbt http://t.co/Cl58oGRlfs",106,106,253228,15513,76137
